Teams,Seasons,Players,Nationality,Position,Matches,Goals,Assists,Seasons Ratings
InterMiami,2023/2024,Lionel Messi,Argentina,Forward (Attacker),15,14,11,8.5
InterMiami,2022/2023,Lionel Messi,Argentina,Forward (Attacker),14,11,5,8
PSG,2021/2022,Lionel Messi,Argentina,Forward (Attacker),41,21,20,8.1
PSG,2020/2021,Lionel Messi,Argentina,Forward (Attacker),34,11,14,7.9
Barcelona,2019/2020,Lionel Messi,Argentina,Forward (Attacker),47,38,12,8.4
Barcelona,2018/2019,Lionel Messi,Argentina,Forward (Attacker),44,31,25,8.3
Barcelona,2017/2018,Lionel Messi,Argentina,Forward (Attacker),50,51,19,8.5
Barcelona,2016/2017,Lionel Messi,Argentina,Forward (Attacker),54,45,18,8.4
Barcelona,2015/2016,Lionel Messi,Argentina,Forward (Attacker),52,54,16,8.4
AL Nassr,2023/2024,Cristiano Ronaldo,Portugal,Forward (Attacker),51,50,13,8.1
AL Nassr,2022/2023,Cristiano Ronaldo,Portugal,Forward (Attacker),19,14,2,7.7
Man United,2021/2022,Cristiano Ronaldo,Portugal,Forward (Attacker),16,3,2,7
Man United,2020/2021,Cristiano Ronaldo,Portugal,Forward (Attacker),38,24,3,7.5
Juventus,2019/2020,Cristiano Ronaldo,Portugal,Forward (Attacker),46,37,7,6.7
Juventus,2018/2019,Cristiano Ronaldo,Portugal,Forward (Attacker),44,36,5,7.9
Juventus,2017/2018,Cristiano Ronaldo,Portugal,Forward (Attacker),43,28,10,7.9
Real Madrid,2016/2017,Cristiano Ronaldo,Portugal,Forward (Attacker),46,42,11,7.9
Real Madrid,2015/2016,Cristiano Ronaldo,Portugal,Forward (Attacker),48,51,15,8.6
AL Hilal,2023/2024,Neymar,Brazil,Forward (Attacker),5,1,2,7.5
PSG,2022/2023,Neymar,Brazil,Forward (Attacker),29,18,16,8
PSG,2021/2022,Neymar,Brazil,Forward (Attacker),28,13,8,7.8
PSG,2020/2021,Neymar,Brazil,Forward (Attacker),31,17,7,7.7
PSG,2019/2020,Neymar,Brazil,Forward (Attacker),27,19,11,8.3
